iter	Passed	Remaining
404	6144	4475
405	6156	4458
406	6168	4441
407	6181	4423
408	6193	4406
409	6212	4394
410	6224	4377
411	6237	4360
412	6255	4346
413	6268	4330
414	6279	4312
415	6294	4297
416	6304	4278
417	6314	4260
418	6325	4241
419	6335	4223
420	6347	4206
421	6358	4188
422	6370	4171
423	6380	4153
424	6391	4135
425	6403	4118
426	6425	4108
427	6437	4091
428	6458	4079
429	6471	4063
430	6486	4048
431	6498	4031
432	6513	4016
433	6530	4002
434	6558	3995
435	6571	3978
436	6582	3961
437	6594	3944
438	6604	3926
439	6616	3910
440	6633	3896
441	6647	3880
442	6666	3867
443	6681	3852
444	6695	3836
445	6708	3820
446	6719	3803
447	6735	3788
448	6751	3774
449	6771	3762
450	6784	3745
451	6797	3729
452	6809	3712
453	6821	3695
454	6834	3680
455	6852	3666
456	6868	3651
457	6882	3636
458	6895	3620
459	6909	3604
460	6921	3588
461	6933	3571
462	6948	3556
463	6964	3542
464	6984	3529
465	6999	3514
466	7010	3497
467	7023	3481
468	7034	3464
469	7047	3448
470	7064	3434
471	7075	3417
472	7084	3400
473	7094	3382
474	7103	3364
475	7113	3347
476	7124	3330
477	7132	3312
478	7142	3295
479	7152	3278
480	7162	3261
481	7172	3244
482	7182	3227
483	7199	3213
484	7210	3196
485	7220	3179
486	7229	3161
487	7238	3144
488	7248	3127
489	7259	3111
490	7270	3094
491	7280	3077
492	7290	3061
493	7299	3044
494	7310	3027
495	7321	3011
496	7332	2994
497	7342	2978
498	7352	2961
499	7363	2945
500	7373	2928
501	7384	2912
502	7396	2896
503	7407	2880
504	7418	2864
505	7429	2848
506	7439	2832
507	7449	2815
508	7463	2800
509	7473	2784
510	7484	2768
511	7494	2751
512	7505	2735
513	7515	2719
514	7527	2703
515	7538	2688
516	7549	2672
517	7560	2656
518	7571	2640
519	7583	2625
520	7594	2609
521	7605	2593
522	7616	2577
523	7628	2562
524	7639	2546
525	7649	2530
526	7663	2515
527	7673	2499
528	7683	2483
529	7694	2467
530	7704	2451
531	7715	2436
532	7726	2420
533	7737	2405
534	7750	2390
535	7761	2374
536	7773	2359
537	7783	2343
538	7795	2328
539	7805	2312
540	7816	2297
541	7828	2282
542	7839	2266
543	7851	2251
544	7866	2237
545	7878	2222
546	7894	2208
547	7907	2193
548	7917	2177
549	7928	2162
550	7938	2146
551	7948	2131
552	7958	2115
553	7969	2100
554	7979	2084
555	7988	2069
556	7998	2053
557	8008	2038
558	8017	2022
559	8028	2007
560	8039	1991
561	8050	1976
562	8064	1962
563	8074	1947
564	8084	1931
565	8095	1916
566	8106	1901
567	8116	1886
568	8130	1871
569	8141	1856
570	8153	1841
571	8163	1826
572	8173	1811
573	8183	1796
574	8196	1781
575	8206	1766
576	8217	1751
577	8227	1736
578	8238	1721
579	8249	1706
580	8264	1692
581	8277	1678
582	8287	1663
583	8298	1648
584	8308	1633
585	8319	1618
586	8329	1603
587	8339	1588
588	8349	1573
589	8359	1558
590	8370	1543
591	8380	1528
592	8391	1514
593	8401	1499
594	8411	1484
595	8422	1469
596	8432	1454
597	8447	1440
598	8463	1427
599	8476	1412
600	8487	1398
601	8498	1383
602	8508	1368
603	8520	1354
604	8532	1339
605	8543	1325
606	8554	1310
607	8564	1296
608	8577	1281
609	8587	1267
610	8597	1252
611	8608	1237
612	8619	1223
613	8631	1209
614	8641	1194
615	8653	1179
616	8668	1166
617	8681	1151
618	8692	1137
619	8705	1123
620	8719	1109
621	8730	1094
622	8741	1080
623	8753	1066
624	8765	1051
625	8776	1037
626	8789	1023
627	8800	1008
628	8810	994
629	8822	980
630	8834	966
631	8845	951
632	8857	937
633	8873	923
634	8885	909
635	8898	895
636	8909	881
637	8919	866
638	8931	852
639	8941	838
640	8953	824
641	8964	809
642	8976	795
643	8986	781
644	8998	767
645	9010	753
646	9022	739
647	9033	724
648	9045	710
649	9055	696
650	9068	682
651	9079	668
652	9092	654
653	9103	640
654	9115	626
655	9126	612
656	9138	598
657	9149	584
658	9160	569
659	9172	555
660	9183	541
661	9195	527
662	9206	513
663	9218	499
664	9230	485
665	9241	471
666	9251	457
667	9264	443
668	9277	429
669	9289	415
670	9302	402
671	9314	388
672	9325	374
673	9336	360
674	9348	346
675	9360	332
676	9372	318
677	9383	304
678	9394	290
679	9405	276
680	9416	262
681	9428	248
682	9438	234
683	9449	221
684	9463	207
685	9476	193
686	9488	179
687	9501	165
688	9513	151
689	9524	138
690	9534	124
691	9546	110
692	9557	96
693	9568	82
694	9580	68
695	9592	55
696	9602	41
697	9615	27
698	9625	13
699	9637	0
