iter	RMSE
349	1962.709095
350	1962.297925
351	1961.584545
352	1961.160229
353	1960.729052
354	1960.005908
355	1959.530539
356	1958.978746
357	1958.685141
358	1958.297914
359	1958.042461
360	1957.721024
361	1957.228036
362	1956.868509
363	1956.19144
364	1955.501757
365	1954.883663
366	1954.602456
367	1953.88653
368	1953.623913
369	1952.966831
370	1952.285949
371	1951.50464
372	1950.856724
373	1950.472171
374	1950.083955
375	1949.385963
376	1949.112874
377	1948.676255
378	1948.005807
379	1947.73484
380	1947.373409
381	1946.946815
382	1946.234166
383	1945.54383
384	1945.148764
385	1944.8404
386	1944.340825
387	1943.665295
388	1943.23311
389	1942.582191
390	1942.140357
391	1941.642442
392	1941.384847
393	1940.868913
394	1940.303903
395	1939.825603
396	1939.42716
397	1938.896538
398	1938.362574
399	1938.039022
400	1937.460723
401	1937.156208
402	1936.534132
403	1936.070619
404	1935.836452
405	1935.542679
406	1935.293538
407	1934.786825
408	1934.483368
409	1933.992265
410	1933.501002
411	1933.183897
412	1932.904456
413	1932.586728
414	1932.104722
415	1931.53728
416	1931.169513
417	1930.819174
418	1930.2265
419	1929.962081
420	1929.432816
421	1928.921925
422	1928.419035
423	1928.149472
424	1927.80901
425	1927.566542
426	1927.151618
427	1926.933235
428	1926.521344
429	1926.133621
430	1925.671261
431	1925.246198
432	1924.8994
433	1924.609756
434	1924.235205
435	1923.864534
436	1923.548977
437	1923.176793
438	1923.00428
439	1922.380371
440	1922.225616
441	1921.968143
442	1921.592249
443	1921.182261
444	1920.656955
445	1920.240889
446	1920.034276
447	1919.610583
448	1919.328972
449	1918.932714
450	1918.610472
451	1918.152691
452	1917.931285
453	1917.647766
454	1917.308595
455	1916.922928
456	1916.757394
457	1916.356364
458	1916.11107
459	1915.667525
460	1915.301732
461	1915.049527
462	1914.705528
463	1914.240686
464	1913.805975
465	1913.477095
466	1913.324739
467	1913.059787
468	1912.83823
469	1912.439357
470	1912.243974
471	1912.00515
472	1911.810533
473	1911.560803
474	1911.387077
475	1910.925462
476	1910.533878
477	1910.371077
478	1910.028757
479	1909.677035
480	1909.42337
481	1909.10209
482	1908.705483
483	1908.471658
484	1908.12094
485	1907.78622
486	1907.652757
487	1907.397318
488	1907.083614
489	1906.893162
490	1906.515907
491	1906.240909
492	1905.977789
493	1905.64253
494	1905.138324
495	1904.930808
496	1904.426751
497	1904.183422
498	1903.803419
499	1903.527601
500	1903.17655
501	1902.774789
502	1902.408537
503	1902.091244
504	1901.785917
505	1901.399071
506	1901.224523
507	1900.917758
508	1900.574075
509	1900.239572
510	1899.79293
511	1899.523529
512	1899.215987
513	1898.867044
514	1898.502426
515	1898.310712
516	1898.023277
517	1897.674968
518	1897.455734
519	1897.205111
520	1896.89257
521	1896.611323
522	1896.388197
523	1896.197945
524	1896.03935
525	1895.862506
526	1895.636282
527	1895.4546
528	1895.262701
529	1894.932953
530	1894.640814
531	1894.300741
532	1894.030469
533	1893.828447
534	1893.540614
535	1893.274062
536	1892.945379
537	1892.750271
538	1892.431116
539	1892.239014
540	1891.994074
541	1891.703761
542	1891.510712
543	1891.31614
544	1891.039551
545	1890.852882
546	1890.575025
547	1890.29193
548	1890.031855
549	1889.834828
550	1889.479797
551	1889.178213
552	1888.927173
553	1888.64306
554	1888.381868
555	1888.132867
556	1887.839666
557	1887.576848
558	1887.408236
559	1887.215671
560	1886.969658
561	1886.690241
562	1886.546076
563	1886.296719
564	1886.060227
565	1885.790469
566	1885.583008
567	1885.39767
568	1885.080793
569	1884.930256
570	1884.670538
571	1884.416941
572	1884.228678
573	1884.008521
574	1883.768886
575	1883.579512
576	1883.383368
577	1883.25223
578	1883.001369
579	1882.815124
580	1882.518041
581	1882.402044
582	1882.22349
583	1881.940042
584	1881.75851
585	1881.499252
586	1881.24467
587	1880.964651
588	1880.693876
589	1880.446626
590	1880.15614
591	1879.983259
592	1879.811331
593	1879.575677
594	1879.444814
595	1879.134243
596	1878.957821
597	1878.69989
598	1878.494796
599	1878.195046
600	1877.956133
601	1877.681901
